invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I101889,C121577,Female,52,Shoes,3,1800.51,Cash,17-02-2022,"Metropol AVM"
I101891,C180405,Female,21,Cosmetics,2,81.32,"Debit Card",20-09-2022,"Cevahir AVM"
I101893,C586871,Female,36,"Food & Beverage",1,5.23,"Credit Card",12-04-2022,"Viaport Outlet"
I101896,C113243,Male,51,"Food & Beverage",2,10.46,"Credit Card",27-03-2022,Kanyon
I101901,C241557,Male,53,"Food & Beverage",4,20.92,Cash,27-04-2021,"Istinye Park"
I101902,C195949,Female,64,Clothing,5,1500.40,"Credit Card",05-04-2021,"Mall of Istanbul"
I101904,C106038,Female,23,Souvenir,1,11.73,"Credit Card",22-02-2021,Kanyon
I101905,C147666,Female,36,Cosmetics,3,121.98,Cash,24-02-2021,Kanyon
I101906,C306258,Male,65,Shoes,2,1200.34,"Credit Card",29-05-2022,Metrocity
I101910,C304301,Male,41,Souvenir,4,46.92,Cash,29-03-2022,"Viaport Outlet"
I101912,C499795,Female,46,Cosmetics,5,203.30,"Debit Card",29-07-2022,"Zorlu Center"
I101915,C112646,Male,42,Clothing,1,300.08,"Credit Card",22-09-2022,Kanyon
I101919,C209103,Male,32,Clothing,4,1200.32,"Credit Card",20-10-2021,"Metropol AVM"
I101920,C208660,Female,37,"Food & Beverage",4,20.92,"Debit Card",26-10-2021,"Cevahir AVM"
I101921,C243839,Female,39,Books,3,45.45,"Credit Card",16-02-2023,"Emaar Square Mall"
I101925,C329689,Male,66,Technology,3,3150.00,"Debit Card",03-02-2023,"Mall of Istanbul"
I101927,C156809,Male,53,Books,2,30.30,"Credit Card",15-06-2021,"Mall of Istanbul"
I101934,C153128,Male,41,Cosmetics,3,121.98,"Debit Card",31-12-2021,"Emaar Square Mall"
I101940,C283119,Female,18,Souvenir,5,58.65,Cash,25-12-2022,"Istinye Park"
I101953,C316666,Male,52,Technology,3,3150.00,Cash,16-02-2021,Metrocity
I101967,C218507,Female,26,"Food & Beverage",5,26.15,Cash,25-02-2023,"Istinye Park"
I101968,C134978,Male,56,Clothing,3,900.24,"Credit Card",24-01-2023,Metrocity
I101972,C182834,Female,57,Clothing,5,1500.40,"Credit Card",03-02-2022,Metrocity
I101974,C184510,Male,57,Toys,5,179.20,"Credit Card",11-11-2021,"Mall of Istanbul"
I101975,C208782,Female,22,Clothing,2,600.16,Cash,07-01-2022,Kanyon
I101978,C188650,Female,42,Clothing,5,1500.40,"Debit Card",14-08-2022,"Mall of Istanbul"
I101979,C109876,Male,25,Clothing,2,600.16,Cash,22-02-2023,"Mall of Istanbul"
I101982,C116333,Female,40,Technology,5,5250.00,Cash,01-02-2021,"Emaar Square Mall"
I101983,C889640,Male,57,Toys,1,35.84,"Credit Card",16-09-2021,"Zorlu Center"
I101984,C117381,Male,45,Clothing,2,600.16,"Credit Card",01-10-2022,Metrocity
I101989,C269810,Male,66,Clothing,4,1200.32,"Credit Card",28-03-2021,"Zorlu Center"
I101993,C158626,Female,52,Shoes,1,600.17,Cash,02-10-2021,"Zorlu Center"
I101996,C157238,Female,32,Cosmetics,3,121.98,Cash,15-06-2021,Kanyon
I102001,C167373,Female,54,"Food & Beverage",5,26.15,"Debit Card",24-05-2021,Kanyon
I102006,C133645,Female,64,Clothing,2,600.16,"Debit Card",07-01-2021,Kanyon
I102008,C171022,Female,47,Clothing,5,1500.40,"Debit Card",15-02-2023,"Forum Istanbul"
I102009,C146739,Female,31,Shoes,1,600.17,Cash,13-11-2021,"Forum Istanbul"
I102014,C158673,Male,37,"Food & Beverage",1,5.23,Cash,26-02-2021,"Metropol AVM"
I102015,C127328,Female,18,Clothing,3,900.24,Cash,23-01-2022,"Viaport Outlet"
I102020,C244182,Male,20,"Food & Beverage",4,20.92,"Debit Card",10-08-2022,Kanyon
I102021,C178086,Female,43,Toys,4,143.36,Cash,07-04-2022,"Forum Istanbul"
I102024,C132062,Female,19,Souvenir,5,58.65,"Credit Card",10-11-2022,Kanyon
I102025,C119370,Male,51,Books,3,45.45,"Credit Card",14-09-2022,"Forum Istanbul"
I102031,C208014,Female,43,Toys,1,35.84,Cash,06-09-2022,Kanyon
I102037,C523688,Female,58,Toys,1,35.84,Cash,21-10-2022,Metrocity
I102038,C227579,Male,58,"Food & Beverage",1,5.23,Cash,19-05-2021,"Cevahir AVM"
I102040,C184203,Male,39,Toys,4,143.36,Cash,20-07-2021,"Istinye Park"
I102041,C846159,Male,50,Cosmetics,3,121.98,Cash,21-08-2021,"Mall of Istanbul"
I102042,C539103,Male,42,Cosmetics,3,121.98,"Credit Card",01-08-2021,Kanyon
I102045,C105667,Male,40,"Food & Beverage",3,15.69,"Credit Card",22-05-2021,"Metropol AVM"
I102047,C203711,Male,65,Toys,3,107.52,"Credit Card",01-06-2021,"Metropol AVM"
I102048,C597678,Male,23,Books,1,15.15,"Debit Card",05-08-2021,"Mall of Istanbul"
I102049,C282234,Female,58,Cosmetics,4,162.64,Cash,17-02-2022,"Metropol AVM"
I102051,C283917,Male,20,Clothing,2,600.16,"Credit Card",26-07-2022,"Mall of Istanbul"
I102053,C318494,Female,56,Clothing,2,600.16,Cash,13-05-2021,"Mall of Istanbul"
I102054,C948047,Female,38,Clothing,1,300.08,"Credit Card",07-05-2022,"Viaport Outlet"
I102058,C245703,Female,50,Cosmetics,1,40.66,"Debit Card",27-04-2022,"Mall of Istanbul"
I102059,C297169,Female,45,Souvenir,3,35.19,Cash,13-12-2022,"Cevahir AVM"
I102061,C181574,Male,36,Shoes,5,3000.85,"Credit Card",11-03-2022,Kanyon
I102065,C799164,Female,40,Clothing,2,600.16,"Debit Card",23-04-2022,"Metropol AVM"
I102068,C317485,Female,20,Souvenir,1,11.73,Cash,07-07-2021,Metrocity
I102069,C273829,Female,65,"Food & Beverage",2,10.46,Cash,25-01-2022,"Viaport Outlet"
I102070,C205475,Male,26,Clothing,4,1200.32,Cash,20-04-2021,"Forum Istanbul"
I102072,C283005,Female,38,Cosmetics,5,203.30,"Credit Card",05-10-2022,Kanyon
I102075,C127805,Female,61,Cosmetics,1,40.66,Cash,30-07-2021,Metrocity
I102082,C402987,Female,31,Souvenir,5,58.65,"Credit Card",20-06-2022,Metrocity
I102084,C339822,Male,25,Shoes,2,1200.34,Cash,19-02-2022,Metrocity
I102088,C184837,Male,36,Clothing,3,900.24,Cash,08-05-2021,"Metropol AVM"
I102091,C190233,Female,26,Toys,3,107.52,"Debit Card",15-03-2022,"Istinye Park"
I102092,C172569,Female,21,Shoes,5,3000.85,Cash,16-11-2022,"Viaport Outlet"
I102100,C252261,Female,69,Souvenir,1,11.73,"Debit Card",31-03-2022,Kanyon
I102101,C270792,Female,30,Clothing,5,1500.40,"Debit Card",21-07-2022,Kanyon
I102102,C628484,Male,66,Shoes,2,1200.34,"Credit Card",11-06-2022,"Istinye Park"
I102107,C294500,Male,31,Clothing,5,1500.40,"Debit Card",06-09-2022,"Mall of Istanbul"
I102108,C316403,Female,28,Shoes,4,2400.68,"Credit Card",25-06-2021,"Zorlu Center"
I102112,C308314,Male,26,Clothing,3,900.24,"Credit Card",25-12-2021,Metrocity
I102115,C629211,Male,50,Clothing,5,1500.40,"Debit Card",02-02-2023,Metrocity
I102118,C336690,Female,69,Cosmetics,3,121.98,Cash,10-02-2023,Kanyon
I102119,C299453,Female,37,Clothing,1,300.08,"Credit Card",20-05-2022,"Forum Istanbul"
I102120,C207445,Female,19,Clothing,1,300.08,"Debit Card",14-08-2022,"Forum Istanbul"
I102128,C183134,Male,21,Clothing,4,1200.32,"Credit Card",04-08-2022,Metrocity
I102131,C330136,Female,65,"Food & Beverage",1,5.23,"Debit Card",12-04-2022,"Zorlu Center"
I102133,C121237,Female,36,Clothing,1,300.08,"Credit Card",10-01-2022,Kanyon
I102141,C329384,Male,34,Clothing,1,300.08,"Debit Card",28-02-2022,"Mall of Istanbul"
I102142,C234980,Female,22,Shoes,2,1200.34,"Debit Card",24-12-2022,"Istinye Park"
I102143,C163307,Female,64,Shoes,3,1800.51,"Credit Card",19-01-2022,Kanyon
I102144,C317414,Female,45,Souvenir,4,46.92,Cash,07-12-2021,"Mall of Istanbul"
I102148,C127692,Female,60,Clothing,4,1200.32,"Credit Card",15-01-2022,Metrocity
I102149,C253677,Female,53,Clothing,4,1200.32,"Debit Card",22-03-2022,"Mall of Istanbul"
I102150,C336009,Male,48,Cosmetics,3,121.98,"Debit Card",23-10-2022,Kanyon
I102151,C460226,Female,64,Toys,2,71.68,Cash,29-11-2022,Kanyon
I102157,C204532,Male,42,Shoes,1,600.17,"Debit Card",28-09-2022,"Mall of Istanbul"
I102159,C115523,Female,21,"Food & Beverage",2,10.46,Cash,02-06-2022,"Zorlu Center"
I102162,C274417,Female,64,"Food & Beverage",3,15.69,"Credit Card",12-02-2023,"Metropol AVM"
I102166,C763155,Male,55,Books,1,15.15,Cash,06-08-2022,Kanyon
I102167,C283282,Female,52,Toys,4,143.36,"Credit Card",10-06-2021,"Cevahir AVM"
I102171,C170678,Female,53,"Food & Beverage",4,20.92,"Debit Card",15-01-2022,"Cevahir AVM"
I102173,C222171,Female,38,Clothing,3,900.24,"Debit Card",22-03-2021,"Emaar Square Mall"
I102175,C287261,Female,65,Clothing,2,600.16,Cash,02-09-2021,Metrocity
I102178,C123925,Female,54,Toys,2,71.68,"Debit Card",17-11-2021,"Istinye Park"
I102182,C153009,Male,36,Souvenir,4,46.92,"Credit Card",05-01-2021,"Metropol AVM"
I102184,C868347,Female,22,Souvenir,5,58.65,Cash,21-04-2022,"Istinye Park"
I102188,C306087,Female,24,Cosmetics,3,121.98,"Credit Card",11-02-2023,Metrocity
I102189,C135789,Male,59,Toys,1,35.84,Cash,14-09-2022,"Mall of Istanbul"
I102191,C211798,Male,31,Shoes,4,2400.68,Cash,17-10-2022,Kanyon
I102193,C327121,Female,38,Cosmetics,4,162.64,"Credit Card",08-01-2022,"Metropol AVM"
I102194,C328882,Female,63,Toys,4,143.36,"Debit Card",27-10-2021,"Mall of Istanbul"
I102195,C242866,Female,28,Clothing,1,300.08,"Credit Card",21-02-2021,Kanyon
I102199,C219898,Male,46,"Food & Beverage",1,5.23,"Credit Card",01-12-2021,Kanyon
I102200,C242359,Female,19,Clothing,2,600.16,"Credit Card",25-01-2021,"Metropol AVM"
I102201,C140670,Female,21,Books,1,15.15,"Debit Card",04-01-2023,"Mall of Istanbul"
I102202,C174973,Female,60,Technology,4,4200.00,"Credit Card",03-07-2022,"Metropol AVM"
I102205,C688295,Male,23,"Food & Beverage",2,10.46,"Credit Card",10-07-2022,Kanyon
I102218,C335848,Female,57,Cosmetics,1,40.66,"Credit Card",23-08-2022,Metrocity
I102221,C301581,Female,29,Clothing,4,1200.32,Cash,07-11-2022,Kanyon
I102222,C171465,Female,65,Clothing,5,1500.40,"Debit Card",27-09-2021,Kanyon
I102223,C339595,Female,29,Clothing,3,900.24,Cash,31-01-2022,"Mall of Istanbul"
I102224,C156712,Male,24,Cosmetics,3,121.98,"Credit Card",28-01-2022,"Emaar Square Mall"
I102225,C890104,Female,43,"Food & Beverage",4,20.92,"Credit Card",12-01-2022,Metrocity
I102229,C194316,Male,58,"Food & Beverage",4,20.92,"Credit Card",01-04-2021,Kanyon
I102232,C282538,Female,40,Toys,2,71.68,"Credit Card",03-12-2022,"Mall of Istanbul"
I102233,C284826,Female,47,Shoes,5,3000.85,"Credit Card",25-04-2021,"Forum Istanbul"
I102234,C237184,Male,48,Clothing,2,600.16,Cash,26-09-2021,"Metropol AVM"
I102237,C106693,Female,64,Cosmetics,2,81.32,"Credit Card",29-07-2022,"Mall of Istanbul"
I102240,C281387,Male,29,Clothing,4,1200.32,"Credit Card",22-06-2021,Kanyon
I102241,C218554,Male,40,Cosmetics,3,121.98,"Debit Card",16-09-2021,"Metropol AVM"
I102244,C210214,Male,18,Clothing,5,1500.40,"Credit Card",08-08-2022,"Viaport Outlet"
I102250,C282314,Female,59,Technology,1,1050.00,Cash,24-03-2021,"Mall of Istanbul"
I102254,C830416,Male,65,Shoes,1,600.17,"Credit Card",05-02-2022,Kanyon
I102256,C263791,Male,44,Books,3,45.45,Cash,08-12-2021,"Zorlu Center"
I102258,C306120,Female,49,Clothing,1,300.08,"Credit Card",31-07-2021,"Cevahir AVM"
I102260,C203685,Male,36,Books,2,30.30,Cash,11-11-2021,"Metropol AVM"
I102261,C817162,Female,23,Cosmetics,4,162.64,Cash,18-06-2022,"Istinye Park"
I102264,C221936,Female,56,Clothing,2,600.16,"Credit Card",22-01-2021,"Istinye Park"
I102268,C298559,Female,47,Shoes,4,2400.68,Cash,31-01-2022,"Zorlu Center"
I102276,C137086,Female,49,Cosmetics,2,81.32,"Debit Card",30-03-2022,"Istinye Park"
I102278,C190867,Male,24,Clothing,2,600.16,Cash,31-05-2022,Kanyon
I102279,C192527,Male,64,Technology,3,3150.00,Cash,06-04-2022,Metrocity
I102283,C889444,Male,36,Books,2,30.30,"Credit Card",15-04-2022,Metrocity
I102284,C378236,Female,63,Clothing,5,1500.40,Cash,23-08-2022,Metrocity
I102286,C303985,Female,50,Souvenir,3,35.19,Cash,02-01-2022,"Emaar Square Mall"
I102287,C844764,Male,38,Clothing,1,300.08,Cash,16-03-2022,"Metropol AVM"
I102296,C161661,Male,62,Cosmetics,4,162.64,Cash,01-09-2022,"Cevahir AVM"
I102300,C244793,Male,46,Toys,3,107.52,Cash,10-01-2021,"Zorlu Center"
I102303,C165489,Male,30,"Food & Beverage",4,20.92,"Credit Card",13-07-2022,"Mall of Istanbul"
I102304,C603018,Female,26,Souvenir,3,35.19,Cash,04-04-2021,"Viaport Outlet"
I102306,C270038,Female,68,Toys,2,71.68,Cash,02-07-2021,"Istinye Park"
I102311,C689496,Female,43,Shoes,2,1200.34,"Debit Card",09-03-2022,"Metropol AVM"
I102314,C244044,Female,21,Clothing,1,300.08,"Credit Card",03-08-2021,Kanyon
I102316,C102664,Female,63,Toys,2,71.68,"Credit Card",26-09-2021,"Emaar Square Mall"
I102320,C240298,Female,66,Cosmetics,5,203.30,"Credit Card",05-03-2022,Metrocity
I102323,C231102,Female,67,Clothing,5,1500.40,"Credit Card",21-02-2023,"Istinye Park"
I102324,C111343,Female,39,Cosmetics,4,162.64,"Credit Card",21-04-2021,Metrocity
I102330,C552450,Male,18,Clothing,4,1200.32,Cash,17-10-2022,"Mall of Istanbul"
I102332,C116250,Female,68,Technology,5,5250.00,Cash,05-08-2022,"Istinye Park"
I102340,C293553,Male,37,Clothing,4,1200.32,"Debit Card",20-09-2021,"Istinye Park"
I102344,C411285,Female,61,Shoes,3,1800.51,Cash,15-03-2022,Metrocity
I102345,C329679,Male,28,Clothing,4,1200.32,Cash,29-01-2021,Kanyon
I102347,C229953,Male,19,Clothing,4,1200.32,"Credit Card",30-08-2022,"Istinye Park"
I102348,C964439,Male,62,Clothing,2,600.16,"Credit Card",03-03-2023,"Emaar Square Mall"
I102355,C209984,Male,63,Souvenir,5,58.65,Cash,28-01-2022,"Forum Istanbul"
I102361,C831180,Female,25,Clothing,2,600.16,Cash,28-04-2022,Metrocity
I102365,C186468,Male,18,Clothing,1,300.08,Cash,20-11-2022,Metrocity
I102371,C173386,Male,18,Clothing,1,300.08,"Credit Card",05-09-2022,"Istinye Park"
I102374,C533960,Female,49,Shoes,3,1800.51,Cash,23-11-2022,"Mall of Istanbul"
I102375,C305450,Female,56,Souvenir,1,11.73,Cash,17-01-2022,"Mall of Istanbul"
I102376,C271700,Female,47,Clothing,2,600.16,Cash,24-07-2021,"Viaport Outlet"
I102377,C124677,Female,35,Clothing,3,900.24,"Credit Card",07-09-2022,"Zorlu Center"
I102389,C455912,Male,24,Cosmetics,3,121.98,"Credit Card",12-06-2022,"Mall of Istanbul"
I102395,C316538,Female,48,Cosmetics,4,162.64,Cash,12-01-2021,Metrocity
I102396,C334331,Male,53,Shoes,4,2400.68,Cash,08-04-2022,Metrocity
I102397,C246554,Male,56,Clothing,3,900.24,"Credit Card",30-06-2021,Kanyon
I102398,C766818,Male,24,Books,5,75.75,Cash,28-06-2021,"Istinye Park"
I102403,C610622,Female,41,Clothing,3,900.24,Cash,27-11-2022,Kanyon
I102404,C142061,Male,38,Clothing,4,1200.32,"Credit Card",13-12-2021,"Mall of Istanbul"
I102405,C296119,Male,23,Technology,4,4200.00,"Credit Card",17-09-2022,"Istinye Park"
I102408,C112153,Female,58,Clothing,5,1500.40,"Credit Card",08-07-2022,"Mall of Istanbul"
I102413,C408282,Male,39,Shoes,2,1200.34,"Debit Card",25-01-2021,Kanyon
I102415,C279084,Female,47,Shoes,5,3000.85,Cash,03-07-2021,Metrocity
I102416,C318747,Male,45,Cosmetics,4,162.64,"Credit Card",10-05-2021,"Emaar Square Mall"
I102417,C381679,Female,44,"Food & Beverage",4,20.92,"Debit Card",16-06-2021,Metrocity
I102427,C309294,Male,41,Souvenir,5,58.65,"Debit Card",12-12-2022,"Mall of Istanbul"
I102433,C215256,Female,20,Toys,2,71.68,"Debit Card",19-01-2021,"Mall of Istanbul"
I102437,C329779,Female,54,Clothing,2,600.16,Cash,17-11-2021,Kanyon
I102440,C583660,Female,68,Clothing,3,900.24,"Credit Card",18-12-2022,"Viaport Outlet"
I102443,C998094,Female,53,Shoes,2,1200.34,Cash,25-09-2022,Metrocity
I102444,C310499,Female,28,Toys,1,35.84,"Debit Card",23-03-2021,Metrocity
I102451,C127080,Female,18,Cosmetics,4,162.64,"Credit Card",24-01-2021,"Istinye Park"
I102453,C125666,Male,61,Clothing,5,1500.40,"Debit Card",02-10-2022,"Emaar Square Mall"
I102459,C379128,Female,55,Clothing,4,1200.32,"Debit Card",25-07-2021,"Forum Istanbul"
I102460,C944064,Female,58,Clothing,5,1500.40,Cash,30-07-2022,"Mall of Istanbul"
I102468,C450900,Female,49,Clothing,3,900.24,"Credit Card",01-01-2023,Kanyon
I102470,C240359,Male,60,Shoes,5,3000.85,"Credit Card",10-02-2022,"Mall of Istanbul"
I102477,C137641,Male,33,Technology,5,5250.00,"Debit Card",27-03-2022,"Mall of Istanbul"
I102480,C264394,Male,28,Souvenir,2,23.46,Cash,24-02-2021,"Metropol AVM"
I102481,C521673,Male,66,Shoes,4,2400.68,"Credit Card",22-04-2022,Kanyon
I102483,C179176,Female,34,Toys,5,179.20,Cash,05-04-2021,Metrocity
I102486,C142171,Male,35,Clothing,5,1500.40,Cash,20-11-2022,"Istinye Park"
I102487,C104393,Male,35,Clothing,1,300.08,"Credit Card",03-02-2021,Kanyon
I102488,C217895,Male,57,Cosmetics,5,203.30,Cash,21-05-2021,"Istinye Park"
I102489,C180255,Male,56,"Food & Beverage",2,10.46,"Debit Card",25-11-2021,Kanyon
I102490,C191187,Female,35,Souvenir,4,46.92,"Credit Card",18-12-2022,"Mall of Istanbul"
I102491,C534732,Female,41,Shoes,2,1200.34,"Credit Card",15-09-2022,"Metropol AVM"
I102494,C260867,Male,47,Clothing,4,1200.32,"Debit Card",25-05-2022,Kanyon
I102495,C179897,Male,48,Clothing,2,600.16,Cash,13-09-2021,Metrocity
I102497,C299013,Male,63,Clothing,1,300.08,"Credit Card",17-09-2022,"Mall of Istanbul"
I102500,C973474,Female,28,Clothing,3,900.24,"Credit Card",16-05-2022,"Mall of Istanbul"
I102501,C634728,Male,54,Clothing,3,900.24,"Credit Card",29-09-2021,"Istinye Park"
I102502,C256344,Female,53,"Food & Beverage",1,5.23,"Debit Card",27-10-2021,Kanyon
I102504,C287619,Female,34,Clothing,4,1200.32,"Debit Card",17-10-2022,Metrocity
I102509,C164347,Female,22,Technology,5,5250.00,"Debit Card",06-11-2022,"Viaport Outlet"
I102512,C199702,Male,61,Shoes,2,1200.34,"Credit Card",09-10-2021,"Forum Istanbul"
I102513,C317824,Male,61,Clothing,3,900.24,"Credit Card",16-10-2022,"Istinye Park"
I102514,C310453,Female,46,"Food & Beverage",5,26.15,"Debit Card",16-01-2021,Kanyon
I102518,C904918,Female,46,Shoes,1,600.17,"Credit Card",22-06-2021,Kanyon
I102520,C531894,Female,33,Books,4,60.60,"Credit Card",22-01-2021,"Emaar Square Mall"
I102521,C314327,Female,23,"Food & Beverage",2,10.46,"Credit Card",15-08-2021,"Emaar Square Mall"
I102525,C240268,Male,61,Cosmetics,1,40.66,Cash,16-01-2022,Kanyon
I102526,C317197,Male,33,Cosmetics,3,121.98,"Credit Card",01-03-2022,"Cevahir AVM"
I102528,C279943,Male,45,Toys,3,107.52,"Debit Card",23-06-2022,"Viaport Outlet"
I102533,C363843,Female,25,Clothing,3,900.24,Cash,04-04-2021,"Emaar Square Mall"
I102534,C522955,Female,46,Clothing,4,1200.32,"Debit Card",30-11-2022,Metrocity
I102535,C194716,Male,34,Shoes,1,600.17,Cash,20-02-2021,"Metropol AVM"
I102541,C369611,Female,55,Cosmetics,3,121.98,"Credit Card",27-02-2021,"Metropol AVM"
I102542,C860947,Female,34,Clothing,2,600.16,"Credit Card",12-04-2021,"Mall of Istanbul"
I102543,C252688,Female,22,Souvenir,2,23.46,"Credit Card",05-03-2021,Kanyon
I102546,C307847,Female,30,Shoes,2,1200.34,Cash,06-10-2021,"Metropol AVM"
I102547,C941147,Female,62,Clothing,2,600.16,"Debit Card",20-06-2021,"Zorlu Center"
I102553,C153282,Male,45,Toys,4,143.36,Cash,12-05-2022,Metrocity
I102556,C315965,Male,26,Clothing,1,300.08,Cash,16-01-2023,Kanyon
I102558,C153506,Female,30,Clothing,5,1500.40,"Debit Card",14-09-2021,"Metropol AVM"
I102559,C839296,Female,31,Books,4,60.60,Cash,23-02-2022,"Mall of Istanbul"
I102561,C220525,Male,63,Clothing,3,900.24,"Credit Card",27-10-2021,Metrocity
I102562,C272836,Female,48,Toys,5,179.20,Cash,16-09-2022,"Mall of Istanbul"
I102564,C152318,Female,49,Clothing,5,1500.40,Cash,13-06-2021,Metrocity
I102567,C441192,Female,21,Clothing,1,300.08,"Credit Card",06-03-2023,Kanyon
I102569,C162413,Male,43,Cosmetics,4,162.64,"Credit Card",24-11-2022,"Zorlu Center"
I102573,C602990,Female,62,Shoes,2,1200.34,Cash,23-08-2022,"Mall of Istanbul"
I102578,C207183,Female,36,Clothing,3,900.24,Cash,22-02-2021,Metrocity
I102587,C255931,Female,32,"Food & Beverage",2,10.46,Cash,02-01-2023,Kanyon
I102589,C770363,Male,44,Clothing,3,900.24,"Debit Card",27-10-2022,"Cevahir AVM"
I102595,C256607,Female,48,"Food & Beverage",2,10.46,Cash,09-08-2021,Metrocity
I102600,C425591,Male,48,Clothing,1,300.08,"Credit Card",13-05-2022,"Mall of Istanbul"
I102604,C286659,Male,26,Shoes,3,1800.51,Cash,03-07-2021,"Mall of Istanbul"
I102607,C905205,Female,65,Shoes,4,2400.68,"Credit Card",28-03-2021,"Metropol AVM"
I102610,C167297,Female,37,"Food & Beverage",3,15.69,"Credit Card",24-03-2022,"Istinye Park"
I102612,C210929,Female,66,Clothing,2,600.16,"Credit Card",29-09-2022,"Mall of Istanbul"
I102613,C602495,Female,50,Shoes,1,600.17,Cash,26-05-2021,"Istinye Park"
I102619,C279714,Female,23,Clothing,2,600.16,"Credit Card",12-05-2022,Metrocity
I102623,C191191,Male,58,Cosmetics,4,162.64,"Credit Card",27-08-2022,"Zorlu Center"
I102625,C305261,Male,26,Shoes,2,1200.34,Cash,28-05-2021,"Zorlu Center"
I102628,C800190,Male,31,Clothing,1,300.08,"Credit Card",01-12-2022,"Cevahir AVM"
I102629,C103453,Male,46,Clothing,5,1500.40,"Credit Card",28-03-2021,"Mall of Istanbul"
I102632,C247827,Male,55,Clothing,1,300.08,"Credit Card",02-03-2023,Kanyon
I102634,C205293,Male,20,Clothing,3,900.24,"Credit Card",18-02-2023,"Forum Istanbul"
I102635,C162707,Female,50,Clothing,4,1200.32,Cash,13-01-2021,"Emaar Square Mall"
I102636,C988123,Male,67,Cosmetics,3,121.98,Cash,02-01-2021,Kanyon
I102641,C148509,Male,52,Cosmetics,4,162.64,"Credit Card",23-06-2022,"Mall of Istanbul"
I102642,C626080,Male,43,Shoes,2,1200.34,"Credit Card",01-02-2023,"Viaport Outlet"
I102645,C156538,Male,46,Books,1,15.15,"Credit Card",14-10-2021,Kanyon
I102647,C208778,Female,35,Cosmetics,5,203.30,Cash,21-11-2021,"Zorlu Center"
I102652,C134226,Female,67,Clothing,1,300.08,Cash,15-08-2021,"Metropol AVM"
I102653,C144135,Female,33,Clothing,1,300.08,Cash,20-10-2021,Kanyon
I102656,C317978,Male,43,Books,5,75.75,"Credit Card",20-07-2021,Metrocity
I102666,C114925,Male,66,Shoes,5,3000.85,Cash,03-01-2022,"Mall of Istanbul"
I102669,C172671,Male,40,Clothing,1,300.08,"Credit Card",12-11-2021,Kanyon
I102675,C936544,Female,45,"Food & Beverage",2,10.46,Cash,27-12-2021,"Istinye Park"
I102677,C149751,Male,20,Shoes,3,1800.51,"Credit Card",05-04-2022,"Emaar Square Mall"
I102681,C298900,Female,19,Clothing,1,300.08,"Credit Card",24-09-2022,Metrocity
I102686,C128656,Female,41,Clothing,3,900.24,"Credit Card",27-11-2022,Kanyon
I102690,C177682,Male,59,Cosmetics,3,121.98,"Debit Card",07-11-2022,"Mall of Istanbul"
I102691,C253781,Female,35,Souvenir,3,35.19,"Credit Card",06-10-2021,"Metropol AVM"
I102692,C340001,Female,65,"Food & Beverage",2,10.46,Cash,25-04-2021,"Mall of Istanbul"
I102694,C782676,Female,65,Shoes,5,3000.85,Cash,19-07-2021,"Mall of Istanbul"
I102697,C232551,Male,54,Clothing,2,600.16,"Debit Card",08-06-2022,Metrocity
I102700,C378568,Female,57,Clothing,4,1200.32,Cash,25-01-2021,"Mall of Istanbul"
I102703,C110600,Female,40,Technology,5,5250.00,"Credit Card",11-10-2022,"Mall of Istanbul"
I102713,C259637,Female,27,Shoes,1,600.17,Cash,26-05-2022,Metrocity
I102714,C182058,Female,63,Clothing,3,900.24,"Debit Card",04-03-2021,"Mall of Istanbul"
I102715,C837237,Male,41,Clothing,3,900.24,"Debit Card",20-10-2022,"Istinye Park"
I102716,C231411,Female,27,Toys,3,107.52,"Credit Card",15-11-2022,Metrocity
I102719,C480086,Female,45,Technology,1,1050.00,Cash,24-04-2021,"Mall of Istanbul"
I102721,C102359,Male,57,Toys,3,107.52,"Credit Card",09-07-2022,Metrocity
I102725,C385326,Female,54,Toys,5,179.20,Cash,16-09-2022,Metrocity
I102726,C444281,Female,66,Clothing,2,600.16,"Credit Card",08-01-2023,"Cevahir AVM"
I102729,C216936,Female,44,Clothing,1,300.08,"Credit Card",03-01-2021,Metrocity
I102730,C181990,Male,57,Technology,4,4200.00,Cash,11-07-2022,"Mall of Istanbul"
I102732,C719232,Male,50,Clothing,5,1500.40,Cash,24-09-2021,"Zorlu Center"
I102734,C134006,Female,48,Clothing,5,1500.40,"Debit Card",08-06-2021,Metrocity
I102735,C662013,Female,55,Shoes,4,2400.68,"Debit Card",22-02-2023,"Zorlu Center"
I102737,C112982,Female,68,Technology,3,3150.00,Cash,09-08-2022,"Mall of Istanbul"
I102751,C224224,Female,67,Technology,2,2100.00,"Credit Card",28-09-2022,Metrocity
I102754,C760072,Female,58,Shoes,2,1200.34,Cash,13-09-2021,"Emaar Square Mall"
I102758,C778349,Female,35,"Food & Beverage",1,5.23,Cash,01-12-2022,"Metropol AVM"
I102759,C174415,Female,28,Clothing,2,600.16,"Credit Card",26-03-2022,"Mall of Istanbul"
I102760,C158547,Female,64,"Food & Beverage",1,5.23,"Credit Card",02-09-2021,"Viaport Outlet"
I102761,C333330,Female,23,Cosmetics,1,40.66,Cash,19-03-2021,"Mall of Istanbul"
I102764,C102832,Female,41,Clothing,3,900.24,"Credit Card",19-08-2022,"Metropol AVM"
